OTU	Group	Supergroup	MP1153_101bp	MP1153_151bp	MP1161_101bp	MP1161_151bp	MP1163_101bp	MP1163_151bp	MP1165_101bp	MP1165_151bp	MP1173_101bp	MP1173_151bp	MP1175_101bp	MP1175_151bp	MP1177_101bp	MP1177_151bp	MP1516_101bp	MP1516_151bp	MP1518_101bp	MP1518_151bp	MP1522_101bp	MP1522_151bp	MP1524_101bp	MP1524_151bp	MP1526_101bp	MP1526_151bp	MP1528_101bp	MP1528_151bp	MP2808_101bp	MP2808_151bp	MP2810_101bp	MP2810_151bp	MP2812_101bp	MP2812_151bp	MP2814_101bp	MP2814_151bp	MP2818_101bp	MP2818_151bp	MP2820_101bp	MP2820_151bp
BMK1193	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BMK12127	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	2	3	0	5	1	0	1	6	0	0	0	0	0	1	1	2	1	2	0	0	1	0	0	0	6	1	5	9	7	17
BMK1263	Cercozoa	Rhizaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
BMK1267	Cercozoa	Rhizaria	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMK12815	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	13	3	12	8	2	1	7	3	0	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	5	3	17	0	11	6
BMK13007	Dinoflagellata	Alveolata	0	0	0	0	1	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
BMK13034	MALV-III	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0
BMK13122	Prymnesiophyceae	Haptista	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	2	1	3	1	5
BMK13223	InSedAlveolata	Alveolata	0	0	1	1	0	0	0	0	56	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BMK13259	Prymnesiophyceae	Haptista	0	0	0	0	0	0	1	1	2	1	10	13	0	0	5	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	7	7	5	19	22
BMK13357	Dinoflagellata	Alveolata	0	0	0	0	4	4	8	13	13	23	1	7	9	16	19	34	0	0	1	1	1	3	4	5	34	63	4	4	0	0	1	2	11	22	10	11	9	15
BMK13458	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0
BMK13563	Ciliophora	Alveolata	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0
BMK13788	Dinoflagellata	Alveolata	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
BMK14018	Prymnesiophyceae	Haptista	0	0	0	0	0	0	0	0	0	0	2	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0
